Query,JD
Physical Therapist,"<b>\r<hr>\r<p style=""text-align: center"">Physical Therapist </p>\r<hr>\r</b>\r<center><b>* Clinical Excellence* Innovation * Professional Development * Advanced Technology *</b></center><br>\r<strong><span style=""text-decoration: underline"">Why work at Amedisys?</span></strong>\r<ul>\r    <li>Competitive salaries and strong benefits for you and your family including a 401(k) retirement account, health care benefits and paid vacation time.\r    <li>We believe that our people are our business. Amedisys invests in you throughout your career with us including a Career Ladders program and Lifelong Learning educational opportunities.\r    <li>Working for Amedisys you will be a part of a culture that is focused on doing the right thing, at the right time, for every patient. </li>\r</ul>\r<br>\r<strong><span style=""text-decoration: underline"">About Us</span></strong><br>\r<br>\r<strong>Dream big. Think outside the box. See the possibilities. Offer creative solutions. Amedisys listens.</strong><br>\r<br>\r<strong>Amedisys Home Health Services</strong> is a leading provider of home health and hospice services. As a national company, we have a far reach and have positioned ourselves as an industry leader in quality care and as the company that is reducing acute care hospitalization.<br>\r<br>\r<strong>As our growth rapidly continues, we are seeking dynamic employees to aide in our mission:</strong>\r<ul>\r    <li>To improve the quality of life in the patients entrusted to our care.\r    <li>To be the premier home health company in the communities we serve. </li>\r</ul>\r<br>\r<p><strong><span style=""text-decoration: underline"">Responsibilities of Physical Therapist:<br>\r<br>\r</span></strong></p>\r<ul>\r    <li>Evaluate and treat patients using the most current technology and practices\r    <li>Provide valuable input into the patienta??s care and treatment\r    <li>Gain quality experience in working with a multi-disciplinary team and personal patient interaction\r    <li>Spend more time working with patients and make a significant difference in their lives </li>\r</ul>"
Physical Therapist,"<div style=""text-align: center;"">&nbsp;</div>\r<h1><hr>\rPhysical Therapist Job Description</h1>\r<p>\rInfinity Rehab is looking for a Full-Time Physical Therapist who is clinically driven and self-motivated for this beautiful retirement community in the heart of the Queen Area of Seattle, Washington. The Therapy Department offers sub-acute, inpatient and outpatient therapy to a variety of patients with conditions such as hip fractures, neurological, Alzheimera??s and/or orthopedic. Full-time employment consists of 32 to 40 hours. This facility offers a large therapy room/gym with an extensive selection of therapy equipment. </p>\r<h2>Physical Therapist Career</h2>\r<p>Infinity Rehab is interested in working with therapists who desire to make a difference. We hire therapists who: value sustained growth and stability, are interested in receiving continuing education and mentorship, desire autonomous therapy within a team of skilled clinicians, and have integrity and a passion to improve the quality of care in a skilled rehab setting. </p>\r<h2>Physical Therapist Benefits</h2>\r<p>Infinity Rehab offers competitive hourly rates, time-and-a-half for holidays, a generous Paid Time Off Program, Medical, Dental, Vision, Life Insurance, Flexible Spending Accounts, 401K plan, Liability Insurance, Supplemental Insurance, Continuing Education, Annual Education Symposium, Continuous Full-Time Length of Service Awards and an Annual Employee Appreciation Event. Benefits offered vary between Full-Time, Part-Time, Committed Per Diem and On-Call Employees. Please call an Infinity Rehab Recruiter for more details on this position and information on Infinity Rehab Benefits.</p>\r<div style=""text-align: center;"">\r<hr>\rIf this describes you, take a closer look at Infinity Rehab.<br />\rTodaya??s the Day, Join Our Team!<br />\rwww.InfinityRehabJobs.com<br />\r<br />\rContact:<br />\rSara Bellone<br />\rWashington Regional Recruiter<br />\rsabellone@infinityrehab.com | Direct line: 503-783-2482 | Cell Phone: 253-468-7069<br />\r</div>"
Java Developer,"CompuSystems, a leader in trade show registration and exhibitor services for over 30 years, is a seeking a Java Developer to join our?? team!<br />\r<br />\rThe Java Development role is responsible for application development, support, and maintenance of CompuSystems suite of products, while maintaining close working relationship with business, clients, technical staff, and outside vendors.?? <br />\r<br />\r<p><strong>Essential Duties and Responsibilities:</strong><span><br />\r</span></p>\r<span>Implements the functional requirements of the project or enhancement by utilizing technical skills and knowledge to ensure successful completion of assigned performance objectives within established time and budget constraints.</span>\r<p><span>??</span></p>\r<span>Develops specifications based on the requirements following new projecta??s and/or enhancementa??s development life cycle. </span>\r<p><span>??</span></p>\r<span>Has the primary responsibility for detailed systems requirement gathering in the form of system requirement specifications (SRS) and sign off on Functional requirement specifications (FRS) when acting as a Technical Lead on projects and/or enhancements.</span>\r<span>??</span>\r<p><strong><span></span></strong></p>\r<span>Has the primary responsibility for delivering quality software, while assisting in the User Acceptance Testing and training.</span>\r<span>??</span>\r?????????????????????? <strong><span><br />\r<br />\r</span></strong>\r<span>Has the primary responsibility for ensuring all appropriate documentations of the solution, relative to his/her area, is in place and is according to defined standards.</span>\r<span>??</span>\r<p><strong><span></span></strong></p>\r<span>Works with the PMO and Enhancement Team in the determination of scope, resource requirements, skill requirements, milestones, budgets, and risks per IS standard methods and practices.</span>\r??????????????????????\r<p><br /></p>\r<p><span>Works with the appropriate business members and/or project manager to ensure that all objectives are being achieved. Identifies and removes barriers that may impede successful completion of an assigned work.</span></p>\r<p><span><br />\r<br />\r</span></p>\r<p><br /></p>"
Maintenance Technician,"Kelly Services in partnership with Freudenberg NOK??is looking for a??Maintenance Technician. Job Summary:??Installs, dismantles, assembles, erects, aligns and moves equipment such as presses, shafting, conveyor, etc.\r\n <b>Basic Job Duties:</b> 1.??Plans and lays out work from blueprints, general instructions, or other specifications.\r\n 2.??Determines means and sequences of disassembling, moving, and assembling machinery.\r\n 3.??May be required to improvise means of moving, lifting, or erecting equipment, including the construction of temporary structures\r\n 4.??Strong knowledge in pneumatics system. The ability to plumb and troubleshoot equipment with and without pneumatics schematics.\r\n 5.??Strong knowledge in troubleshooting electrical systems, wiring of machines and controls, with or without electrical schematics. Follows manufacturers manuals for tracing complicated circuitry.\r\n 6.??Uses instruments to test circuits.\r\n 7.??Adjusts, repairs, and replaces equipment and components.\r\n 8.??Installs new equipment.\r\n 9.??May assist engineers in diagnosing problems and suggesting corrective action.\r\n 10.??Utilizes hand tools, testing and diagnostic equipment and simple machine tools such as pipe benders, grinders, and portable electric tools.\r\n 11.??Knows plant operations from top to bottom: all energy sources, air comp, chilled water, etc.\r\n 12.??Analyzes and determines what is needed to make a repair or build a new installation utilizing prints, sketches, or verbal instructions.\r\n 13.??Selects material and hardware. May take time & material estimates, as well as bills of material.??\r\n 14.??The job also requires welding, cutting, and sheet metal work.\r\n 15.??Uses hand tools, power tools, hoists, jack, rollers, dollies, rigging, lift trucks, ropes, chains, and slings.\r\n 16.??Know all lock out tag out procedures.\r\n 17.??Keep department clean, neat, and safe.\r\n 18.??Performs necessary functions to adhere to Quality Standard and Environmental Standard guidelines.\r\n \r\n Please submit resume or call 603.625.6457"
Maintenance Technician,"<STRONG>MAINTENANCE TECHNICIAN<BR>\r<BR>\rR & D Thiel, a Division of Carpenter Contractors of America, Inc</STRONG>., the industry leader in the manufacture of residential construction components servicing and supplying Chicagoland market has an immediate need for a qualified full-time <STRONG>Maintenance Technician</STRONG> for its manufacturing operation in Belvidere, IL.<BR>\r<BR>\rThe ideal candidate must possess a strong working knowledge of electrical and mechanical systems and equipment as this position is accountable for troubleshooting and performing regular and preventative maintenance up to and including repairs on conveyors, equipment and tooling, high voltage electrical systems among other traditional facility maintenance functions.?? HVAC knowledge and experience is considered a strong plus.<BR>\r<BR>\rCandidates must be able to demonstrate the skill sets required and possess 3 -5 years verifiable work history in a Maintenance capacity preferably in a manufacturing environment.<BR>\r<BR>\rInterested and qualified candidates should submit their resumes and salary history through the following venues:\r<UL>\r    <LI>email: <A href=""mailto:bobj@rdthiel.com"">bobj@rdthiel.com</A> and <A href=""mailto:jraduha@rdthiel.com"">jraduha@rdthiel.com</A></LI>\r    <LI>Fax: 815/544-7132</LI>\r</UL>"
Cashier,"<b><center>Cashier<br />\r<br />\r$11.30/hour<br />\r<br />\rAre you made for ALDI?</center></b><br />\r<br />\rAt ALDI, our Cashiers are entrusted with communicating to our customers all of the unique advantages of our shopping experience. Youa??ll be front and center working in a variety of roles a?? from cashier to stocker a?? providing outstanding customer service and support. You'll also assist store managers by merchandising product, monitoring inventory, and keeping the store looking its best. Ita??s a great opportunity to get more out of your career and grow in an exciting environment.<br />\r<br />"
Maintenance Technician,<P style="TEXT-ALIGN: center">??<STRONG> CROMER FOOD SERVICES</STRONG> </P>\r<P style="TEXT-ALIGN: center">Has openings for </P>\r<P style="TEXT-ALIGN: center">??<BR>\r*Maintenance Technicians* </P>\r<P style="TEXT-ALIGN: center">Starting pay based on</P>\r<P style="TEXT-ALIGN: center">Maintenance Experience</P>\r<P style="TEXT-ALIGN: center">??</P>\r<P style="TEXT-ALIGN: center">*Mechanical/electronic/refrigeration experience a PLUS</P>\r<P style="TEXT-ALIGN: center">*Must have a good work/driving record</P>\r<P style="TEXT-ALIGN: center">*Training will be provided for the selected candidates</P>\r<P style="TEXT-ALIGN: center">??</P>\r<P style="TEXT-ALIGN: center"><B><SPAN></SPAN></B>??</P>
Maintenance Technician,"<p>Progressive, modern, manufacturing company in Dayton, Ohio seeking an experienced and qualified maintenance person. Heavy Industrial Maintenance Environment. Must be self motivated with the ability to work safely and independently.&nbsp; Various shifts available.&nbsp; Excellent salary and benefits.</p>\r<p><b></b>&nbsp;</p>\r<p><b><br>\r<br>\rGeneral Purpose of Job:</b></p>\r<p>Maintain and improve upon all aspects of preventative maintenance program. Make repairs and/or recommendations as necessary.<br>\r<br>\r</p>\r<p>&nbsp;</p>\r<p><b>Major Responsibilities:</b></p>\r<p><b></b>&nbsp;</p>\r<p><b><br>\rRepair, Replace, or advise on:</b></p>\r<p><b></b>&nbsp;</p>\r<ul>\r    <li><b>3 Phase 240/480V and single phase 110/220V electrical</b>\r    <li><b>Electric Motors/Relays/Motor Starters</b>\r    <li><b>At least 3 years Mechanical, Pneumatic and Hydraulic equipment exp.</b>\r    <li><b>Overhead cranes and hoists</b>\r    <li><b>Pumps &ndash; Diaphragm and electric impeller styles</b>\r    <li><b>Electric Component Controllers</b>\r    <li><b>Steel shop equipment such as Shears, Brakes, Threaders, Chamfering equipment, Punches, Benders, Shot Blast equipment, Wash stations, Sanders/Grinders, lab equipment, Saws, Welders, Etc.</b>\r    <li><b>Water/Gas Lines &ndash; Pipes, Hoses, etc.</b>\r    <li><b>Combustion Burners/Heaters-Electric Burners/Heaters</b>\r    <li><b>PLC (Programmable Logic Controllers)</b>\r    <li><b>HVAC a plus</b>\r    <li><b>Fork-lift repair a plus</b> </li>\r</ul>\r<p><strong></strong>&nbsp;</p>"
Sales Representative,"<p><span>Why settle for an ordinary sales career, when you can put more life in your career with us? <b>Colonial Life </b>has an immediate opening for SALES REPRESENTATIVES to join our growing team.</span></p>\r<p>&nbsp;</p>\r<p><span>We are a leader in worksite marketing. We work with employers and their employees to provide benefit solutions in one neat package: benefits communication, enrollment, and personal insurance products.</span></p>\r<p>&nbsp;</p>\r<p><b><span>Skills/backgrounds associated with success are:</span></b></p>\r<ol>\r    <li><span>Experience attaining challenging sales goals.</span></li>\r    <li><span>Ability to identify and prioritize sales opportunities.</span></li>\r    <li><span>Effective verbal and written communication skills, and&nbsp;ability to successfully engage all levels of customer base.</span></li>\r    <li><span>Self-motivation and drive; willing to invest time in developing client relationships.</span></li>\r</ol>\r<p>&nbsp;</p>\r<p><b><span>Career Opportunities:</span></b></p>\r<p>&nbsp;</p>\r<ol>\r    <li><span>Prospect, market and deliver benefit communications and enrollment solutions to decision makers.</span></li>\r    <li><span>Present voluntary product solutions to employees.</span></li>\r</ol>\r<p>&nbsp;</p>\r<p><span><br>\r<b>We provide the tools, training and support to help you succeed. With Colonial Life, you can:</b></span><b></b></p>\r<p><span>&nbsp; <b></b></span></p>\r<ol>\r    <li><span>Achieve more than just sales &ndash; enjoy being a benefits counselor.</span> </li>\r    <li><span>Work with a sound company that&rsquo;s had a solid history of integrity and growth for more than 70 years.</span></li>\r    <li><span>Enjoy strong earnings potential, even in your first year, plus competitive bonuses and incentives. Average first-year income for our top new benefit counselors hit $105,000 last year. </span></li>\r    <li><span>Grow and refine your skills through our proven phone prospecting system and structured sales training program.</span></li>\r    <li><span>Enjoy a flexible work schedule.</span></li>\r    <li><span>Earn what you&rsquo;re worth, help people, and have fun doing it!</span></li>\r</ol>\r<p>&nbsp;</p>"
Cashier,"<b>\r<center>Full Time Cashier<br>\r30-35 hours per week<br>\r<br>\r$12/hour<br>\r+$1/hour additional for hours worked on Sundays<br>\r<br>\rAre you made for ALDI?</center></b><br>\r<br>\rAt ALDI, our Cashiers are entrusted with communicating to our customers all of the unique advantages of our shopping experience. You&rsquo;ll be front and center working in a variety of roles &ndash; from cashier to stocker &ndash; providing outstanding customer service and support. You'll also assist store managers by merchandising product, monitoring inventory, and keeping the store looking its best. It&rsquo;s a great opportunity to get more out of your career and grow in an exciting environment.<br>\r<br>"
Project Manager,"<b>Responsibilities:</b> The Project Manager in Springfield, Massachusetts will manage large scale projects and be responsible for project success and day-to-day project execution. Projects may be more business or IT focused.\r\n\r\nDuties:\r\n<UL><LI>Coordinates project life cycle tasks from definition through post implementation</li>\r\n<li>Responsible for project scope definition and change control management</li>\r\n<li>Ensures creation, identification, prioritization and sign off of business requirements</li>\r\n<li>Assures project planning and financial monitoring - coordination of cost estimates; resource planning and management, identification of and securing of resources</li>\r\n<li>Decides on methodology for modifications, conversion and implementation</li>\r\n<li>Facilitates project communication including risks, issues and deviations from plan</li>\r\n<li>Confirms achievement of objectives; verifies and documents project results to formalize acceptance by the sponsor</li>\r\n<li>Coordinates production, post implementation tasks, and project review/lessons learned</li>\r\n<li>Ensures proper transition to production support team and impacted business areas</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1141115T1~99"
Financial Analyst,"<p><strong></strong></p>\r<p style=""text-align: justify"">Greetings,</p>\r<p style=""text-align: justify""></p>\r<p style=""text-align: justify"">My name is <strong>Umar </strong>and I am an IT recruiter at <span>APN Software Services Inc.,</span><span>??a national staffing firm based out of California. APN was established in 1996 and we are one of the Top 25 Work Places in Bay Area, California. We have clients like Dell, Siemens, Cisco Systems, Motorola, Philips, Varian, Mars, GE, Fuji, and many others.</span></p>\r<p style=""text-align: justify""><span>??</span></p>\r<p style=""text-align: justify""><span>Please go through the job description below and if you are qualified, available, interested, planning to make a change, or know of a friend who might have the required qualifications and interest, please call me at <strong>510-402-4736.</strong> If you do respond via e-mail please include a daytime phone number so I can reach you.</span></p>\r<p style=""text-align: justify""><span>??</span></p>\r<p><strong>Title: Financial Analyst </strong></p>\r<p><strong>Location : Alpharetta, GA 30005</strong></p>\r<p><strong>Duration: 06+ Months Contract</strong></p>\r<p><strong>Rate: $Open</strong></p>\r<p></p>\r<p><strong>Description</strong></p>\r<p>Participates in analyzing financial results to determine accuracy and completeness of information. </p>\r<p>Supports in the preparation of various financial reports; compiles and reviews financial plans and budgets. </p>\r<p>Participates in the compliance of budget allocations. </p>\r<p>Performs financial analysis at semi-complex levels including rate of return, depreciation, working capital, investments, budgeting, and financial and expense performance comparisons. </p>\r<p>Participates in ensuring conformance to FASB requirements and GAAP. </p>\r<p>May participate in commercial/contract activities, pricing, margin calculations, etc. </p>\r<p><strong>??</strong></p>\r<p><strong>Enter Shift Start and End Time???????? </strong></p>\r<p><strong>8AM-5PM</strong></p>\r<p><strong><span>??</span></strong></p>\r<p><strong><span>Is there potential for this to convert to a full time position? </span></strong></p>\r<p><strong><span>Yes</span></strong></p>\r<p><strong>??</strong></p>\r<p><strong>If Interested please send your updated resume in a word format for the further proceedings!!!</strong></p>\r<p></p>\r<p style=""text-align: justify"">In considering candidates, time is of the essence, so please respond at your earliest convenience. Look forward to hearing from you.</p>\r<p></p>\r<p><span>Thanks,</span></p>\r<p><span>??</span></p>\r<p><strong><em><span>Umar </span></em></strong></p>\r<p><span>APN Software Services, Inc</span></p>\r<p><span>39899 Balentine Drive, Suite 385, Newark, CA 94560</span></p>\r<p><span>Phone: (W) 510-402-4736.</span></p>\r<span>Email :</span><span><a href=""mailto:umar@apninc.com""><span>umar@apninc.com</span></a></span><span>?? </span>\r<p><strong><span></span></strong></p>"
Project Manager,"<b>Responsibilities:</b> Our client is looking for an articulate, process oriented Project Manager with strong leadership ability.  This person will be overseeing and heavily involved in a huge project initiative and will be responsible for driving the process. We need a dynamic individual who is both business and technical facing. This person must fully understand BI/Datawarehousing along with insurance terminology.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1142682T1~99"
Cashier,<P STYLE='margin-top:0px;margin-bottom:0px'>Education:</P>\r\n<UL><LI>High School diploma or GED required </LI></UL>\r\n<P STYLE='margin-top:0px;margin-bottom:0px'>Experience/Skills:</P>\r\n<UL><LI>Experience using computer for professional job functions required\r\n </LI><LI>Ability to type 35 wpm preferred\r\n </LI><LI>2 years of experience in medical office desired\r\n </LI><LI>Customer Service experience in helping resovle customers inquries desired</LI></UL>
Cashier,"<br><b>ABOUT THE JOB</b>\nProvide quick and efficient checkout services to satisfy customer needs and to strengthen IKEA's position as the best home furnishing store.<br><br>\n<b>YOUR ASSIGNMENT</b>\n<b>Your main tasks will include:</b>\nUnderstand the IKEA concept and how this impacts on your specific role.\nProvide visitors with a positive shopping experience by ensuring customer convenience standards are met or exceeded\nProcess sales transactions accurately and efficiently\nImplement the agreed annual action plan for your area of responsibility. Give feedback to your manager in order to influence future plans.\nDemonstrate a good understanding of policies, routines and procedures with your area of responsibility.\nAdhere to inventory control procedures and security policies\nReconcile cash drawer while maintaining proper audit trail\nSupport and develop co-operation with fellow co-workers specifically within your own function, through working closely together, sharing knowledge and showing understanding of each others responsibilities.\nUse available resources to educate yourself on product features, services and customer interaction skills\nContribute to an environment where the IKEA Culture is a strong and living reality that embraces the diversity of coworkers and customers\nAssume responsibility for other tasks and projects as they occur"
Sales Representative,"<div>\r<p><span>-Will sell??dialysis access products to hospitals and??specialty centers through out??Georgia and Alabama for a leading catheter manufacturer.<br>\r<br>\r??-Growing existing relationships with physicians, nurses, and technicians as well as developing new??accounts.??</span>??</p>\r</div>"
Store Manager,"<P><SPAN style=""TEXT-DECORATION: underline""><STRONG>??STORE MANAGER??</STRONG></SPAN></P>\r<P>??</P>\r<P>As a member of the Store Operations team, Hastings Store Managers are responsible for managing the store by supervising and executing corporate plans and actions as well as creating a positive team atmosphere, and increasing sales by utilizing company financial reports.</P>\r<P>??</P>\r<P><STRONG><SPAN style=""TEXT-DECORATION: underline"">??</SPAN></STRONG><STRONG><SPAN style=""TEXT-DECORATION: underline"">Responsibilities:</SPAN></STRONG></P>\r<UL>\r    <LI>Sales and revenue and control staffing and turnover levels within the store\r    <LI>Actively mentor and develop Managers in Training\r    <LI>Oversee store personnel and ensure that all corporate policies and procedures are followed\r    <LI>Ensure associates keep stores clean, well organized, and properly merchandised </LI>\r</UL>\r<P>??</P>\r<P>??</P>"
Receptionist,"Our long term care facility is looking for a receptionist whose duties include:<BR>\r<BR>\rAnswering multi-line phone, monitoring secure entrances, sorting and distributing mail, data entry, greeting visitors/vendors, assisting residents and staff.<BR>\r<BR>\rFast paced environment."
Maintenance Technician,"<DIV>\r<P><B>Summary</B> Performs the regular and recurring maintenance, installation, and repair or machinery, equipment and general maintenance of facility<SPAN>, following company policies, quality system procedures, Product Specifications, mechanical drawings, blueprints and test plans. Participates in problem solving efforts in his/her work area.?? Perform work with minimal supervision using general instructions.???? Pay DOE<B></B></SPAN></P>\r</DIV>\r<P><B></B>??</P>\r<P><B>Essential Functions:?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </B></P>\r<UL>\r    <LI><SPAN>Performs preventive maintenance (PM's) for facility and equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Inspects, adjust and replaces necessary components and parts on equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs fabrication tasks using a variety of welding and cutting tools and equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs electrical, carpentry repair work and painting</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs maintenance on CNC machines and related equipment</SPAN> </LI>\r</UL>\r<P><B></B>??</P>\r<P><B>Secondary Responsibilities:</B><B><SPAN>?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </SPAN></B></P>\r<UL>\r    <LI><SPAN>Continually improve 5S+1 program (Safety & Housekeeping)</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Participate in continually improving work processes.</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Preventive Maintenance</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Assist other team members as directed, including training and assisting less experienced coworkers</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Compliance with safety programs within his/her area</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Work overtime as required</SPAN>\r    <LI><SPAN>Responds to emergency maintenance calls as required</SPAN>\r    <LI><SPAN>Perform other duties as assigned.</SPAN> </LI>\r</UL>\r<P>??</P>\r<P><B>Supervisory Responsibilities:</B></P>\r<UL>\r    <LI><SPAN>None</SPAN> </LI>\r</UL>\r<P><B></B>??</P>"
Store Manager,"<p><span style=""text-decoration: underline""><strong>??STORE MANAGER??</strong></span></p>\r<p>&nbsp;</p>\r<p>As a member of the Store Operations team, Hastings Store Managers are responsible for managing the store by supervising and executing corporate plans and actions as well as creating a positive team atmosphere, and increasing sales by utilizing company financial reports.</p>\r<p>&nbsp;</p>\r<p><strong><span style=""text-decoration: underline"">??</span></strong><strong><span style=""text-decoration: underline"">Responsibilities:</span></strong></p>\r<ul>\r    <li>Sales and revenue and control staffing and turnover levels within the store </li>\r    <li>Actively mentor and develop Managers in Training </li>\r    <li>Oversee store personnel and ensure that all corporate policies and procedures are followed </li>\r    <li>Ensure associates keep stores clean, well organized, and properly merchandised </li>\r</ul>\r<p>&nbsp;</p>\r<p>&nbsp;</p>"
Receptionist,"<p>The Receptionist is the first line of customer service for all patients and visitors entering a Western Dental office. They will greet patients, sign them in, schedule future appointments, and handle incoming phone calls. They will assist patients in accordance with the training they have received ensuring patients receive the Ultimate Patient Experience while visiting a Western Dental Services.\r\n\r\nKey Responsibilities:\r\n\r\n</p><ul><li>Customer Service; acknowledge, smile and greet patients upon arrival/dismissal</li><li>Respond to patient questions and or concerns according to WDS Policies</li><li>Answering Telephones</li><li>Scheduling Appointments</li><li>Maintaining Appointment Book</li><li>Confirming Appointments</li><li>Follow up on no shows/cancellation of Appointments</li><li>Register Patients on sign in sheet</li><li>Chart Filling</li><li>Cash Handling</li><li>Checking voicemail on a daily basis</li><li>Maintain a clean and friendly waiting area for patients </li><li>At all times you will perform and undertake such other duties and responsibilities as are requested of you by the Office Manager or the PDM\r\n</LI></UL>"
Cashier,"<strong>You're serious about your career,</strong>  and rest assured you've come to the right place. At <strong>Honda of Santa Monica,</strong>  a Sonic Automotive family dealership, you'll find the opportunities, resources, and support you need to grow and develop professionally. Our 100+ dealerships are concerned with more than moving inventory; they're committed to your success and invested in your future. So read on, and consider a rewarding career with Sonic Automotive, Inc.\r\n \r\n<strong>Purpose:</strong>  <ul><li>The cashier receives cash from customers and employees in payment for goods and services and records the amount received in an accurate manner. \r\n</li><li>He/she is sometimes the customer's last contact with the dealership and therefore, must represent the dealership in a friendly, professional manner. The cashier provides assistance to the accounting office as directed on an individual task basis. </li></ul><p><strong>Duties and Responsibilities:</strong>  <ul><li>Calculate the customer's bill using the dealership's computer system. </li><li>Receive cash, checks and credit card payments from customers and record the amount received on the repair order and/or counter ticket. </li><li>All personal checks are to be guaranteed. Any checks failing to guarantee must be approved by management. </li><li>Make change accurately and issue receipts to customers. Have every repair order signed by the customer at time of payment. </li><li>Ascertain and record totals of counter tickets and repair orders and verify against all cash, checks and credit card payments on hand at end of shift. </li><li>Work with department managers to keep abreast of new products and services offered by the dealership and any changes in price. </li><li>Refer customers who have additional questions (e.g. questions about their repair order) to the service advisor or other appropriate individual. </li><li>Handle customer complains with integrity and poise and take or refer the complaining customer to the appropriate individual for further communication. </li><li>Give cash refunds accurately to customers for approved returned merchandise. </li><li>Maintain service files timely. </li><li>Perform receptionist duties as requested. </li><li>Perform other duties as assigned by management. </li><li>Must follow all company safety policies and procedures, and immediately report any and all accidents to a manager or supervisor. </li></ul></p><p><strong>Cashier Qualifications:</strong>  <ul><li>Ability to read and comprehend instructions and information. </li><li>Basic skills with computer and other office machines (copier, credit card machine, telephone, adding machine) \r\nnecessary to perform the cashiering/clerical duties. </li><li>Professional personal appearance. </li><li>Ability to work well with customers and present a friendly, helpful attitude at all times. </li><li>All applicants must be authorized to work in the USA </li><li>All applicants must perform duties and responsibilities in a safe manner </li><li>All applicants must be able to demonstrate ability to pass pre-employment testing to include background checks, MVR, drug test, credit report, and valid driver license </li></ul> \r\nIt's time to make the most important move of your career: the move to <strong>Honda of Santa Monica.  </strong> From our cooperative, team-based approach, to our more than 1,000 internal advancements each year, it's easy to see the Honda of Santa Monica difference. When you join our organization, you'll enjoy comprehensive training, competitive compensation, and unparalleled benefits. Simply put, you'll experience the best that a career in the automotive industry has to offer.</p>"
Java Developer,"<b>Responsibilities:</b> Kforce is seeking a talented Java Developer to work with a client in Houston, Texas. If you are qualified and interested in this position, please apply online today for consideration.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~WQG~1144841T1~99"
Maintenance Technician,"<p style=""text-align: center"" align=""center""><strong><span>Maintenance Technician</span></strong></p>\r<p style=""text-align: center"" align=""center""><strong><span>??</span></strong></p>\r<p><span>We are seeking an experienced </span><strong><span>Maintenance Technician</span></strong><span> to join our team in <strong>Charlotte</strong><strong><span>, NC</span></strong></span><span>.<strong><span><br />\r</span></strong>??<strong></strong></span></p>\r<p><strong><span>Job Description:</span></strong></p>\r<p><span>The Maintenance Technician is responsible for assisting the Property Manager and Maintenance Supervisor in all areas. Specific duties will be assigned under the direct supervision of the Maintenance Supervisor.</span></p>\r<p><strong><span>??</span></strong></p>\r<p><strong><span>Job Responsibilities and Duties:</span></strong></p>\r<ul>\r    <li><span>Assist the Maintenance Supervisor and/or perform assigned maintenance tasks in a timely manner</span></li>\r    <li><span>Make available apartments ready for move-in</span></li>\r    <li><span>Report any maintenance problems to the supervisor</span></li>\r    <li><span>Assist supervisor in controlling expenses</span></li>\r    <li><span>Participate in an ongoing community maintenance and improvement plan</span></li>\r    <li><span>Follow-up on service requests to assure the highest quality customer satisfaction, and all other duties as may be assigned</span></li>\r    <li><span>Perform the tasks assigned in an orderly and timely manner</span></li>\r    <li><span>Possess and continually improve the technical skills necessary to perform assigned maintenance</span></li>\r    <li><span>Possess and continually improve technical skills in all areas of property maintenance</span></li>\r    <li><span>Be committed to the success of each associate as a member of the team</span></li>\r</ul>"
